symbol,name,sector,industry,market_cap
NXST,"Nexstar Media Group, Inc.",Communication Services,Media,Mid Cap
NXT,Nextpower Inc.,Information Technology,Semiconductors & Semiconductor Equipment,Large Cap
NYT,New York Times Company Class A,Communication Services,Diversified Telecommunication Services,Large Cap
OC,Owens Corning,Industrials,Building Products,Mid Cap
OCDX,Ortho Clinical Diagnostics Holdings plc,Health Care,Biotechnology,Mid Cap
OCGN,"Ocugen, Inc.",Health Care,Biotechnology,Small Cap
OCTV,Octave Intelligence plc Class B Ordinary Shares,Information Technology,Software,Mid Cap
OCUL,"Ocular Therapeutix, Inc.",Health Care,Biotechnology,Small Cap
ODC,Oil-Dri Corporation of America,Materials,Chemicals,Small Cap
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Transportation Infrastructure,Large Cap
ODP,The ODP Corporation,Consumer Discretionary,Specialty Retail,Small Cap
ODTX,Odyssey Therapeutics Inc. Common Stock,Health Care,Biotechnology,Small Cap
OFIX,Orthofix Medical Inc.,Health Care,Health Care Technology,Small Cap
OFLX,"Omega Flex, Inc.",Industrials,Machinery,Small Cap
OFRM,Once Upon a Farm PBC,Consumer Staples,Food Products,Small Cap
OGN,Organon & Co. Common Stock ,Health Care,Biotechnology,Small Cap
OI,"O-I Glass, Inc.",Consumer Discretionary,Distributors,Mid Cap
OII,"Oceaneering International, Inc.",Energy,Energy Equipment & Services,Mid Cap
OIS,"Oil States International, Inc.",Energy,Energy Equipment & Services,Small Cap
OKTA,"Okta, Inc. Class A",Information Technology,Software,Large Cap
OLED,Universal Display Corporation,Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
OLLI,Ollie's Bargain Outlet Holdings Inc,Consumer Staples,Household Products,Mid Cap
OLMA,"Olema Pharmaceuticals, Inc.",Health Care,Biotechnology,Small Cap
OLN,Olin Corporation,Materials,Chemicals,Mid Cap
OLPX,Olaplex Holdings Inc. Common Stock,Industrials,Professional Services,Small Cap
OMC,Omnicom Group Inc.,Communication Services,Diversified Telecommunication Services,Large Cap
OMCL,"Omnicell, Inc.",Health Care,Health Care Providers & Services,Small Cap
OMDA,Omada Health Inc. Common Stock,Health Care,Health Care Equipment & Supplies,Small Cap
OMER,Omeros Corporation,Health Care,Biotechnology,Small Cap
OMP,Oasis Midstream Partners LP,Energy,"Oil, Gas & Consumable Fuels",Small Cap
ON,ON Semiconductor Corporation,Information Technology,Semiconductors & Semiconductor Equipment,Large Cap
ONDS,Ondas Holdings Inc.,Information Technology,Communications Equipment,Mid Cap
ONT,Onterris Inc. Common Stock,Industrials,Professional Services,Small Cap
ONTO,"Onto Innovation, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Large Cap
OOMA,"Ooma, Inc.",Communication Services,Diversified Telecommunication Services,Small Cap
OPAL,OPAL Fuels Inc. Class A Common Stock,Energy,"Oil, Gas & Consumable Fuels",Small Cap
OPCH,"Option Care Health, Inc.",Health Care,Health Care Equipment & Supplies,Mid Cap
OPFI,OppFi Inc. Class A Common Stock,Information Technology,Software,Small Cap
OPK,"OPKO Health, Inc.",Health Care,Biotechnology,Small Cap
OPLN,OPENLANE Inc.,Consumer Discretionary,Specialty Retail,Mid Cap
OPTU,Optimum Communications Inc. Class A common stock,Communication Services,Entertainment,Small Cap
ORBC,ORBCOMM Inc.,Communication Services,Diversified Telecommunication Services,Small Cap
ORCL,Oracle Corporation,Information Technology,Software,Mega Cap
ORGO,"Organogenesis Holdings, Inc. Class A",Health Care,Pharmaceuticals,Small Cap
ORIC,"Oric Pharmaceuticals, Inc.",Health Care,Biotechnology,Small Cap
ORKA,Oruka Therapeutics Inc. Common Stock,Health Care,Biotechnology,Small Cap
ORLY,"O'Reilly Automotive, Inc.",Consumer Discretionary,Specialty Retail,Large Cap
ORN,"Orion Group Holdings, Inc.",Industrials,Construction & Engineering,Small Cap
OSCR,"Oscar Health, Inc.",Health Care,Health Care Providers & Services,Mid Cap
